iteration,scaler,n_features,features,n_clusters,silhouette,calinski_harabasz,davies_bouldin
73,Standard,8,"['sector_momentum_dispersion', 'sector_ma_ratio_spread', 'glob_eq_vol_skew', 'commod_trend_strength', 'glob_eq_ret20d_std', 'glob_eq_rsi_mean', 'commod_momentum_slope', 'usd_vs_fxe_fxy_trend']",4,0.46368035674095154,2706.125732421875,0.8686970132791663
195,Robust,8,"['glob_eq_rsi_mean', 'sector_momentum_dispersion', 'glob_eq_vol_skew', 'eq_idx_ret5d_mean', 'glob_eq_ret20d_std', 'sector_ma_ratio_spread', 'macd_diff_lqd_spy', 'commod_momentum_slope']",4,0.4618808627128601,1896.7669677734375,0.8675046542147045
118,Robust,9,"['usd_vs_fxe_fxy_trend', 'eq_idx_ret5d_mean', 'eq_idx_macd_diff_mean', 'commod_trend_strength', 'sector_ma_ratio_spread', 'glob_eq_rsi_mean', 'macd_diff_lqd_spy', 'sector_momentum_dispersion', 'glob_eq_vol_skew']",4,0.46124976873397827,2223.285888671875,0.864984324168488
100,Standard,5,"['sector_ma_ratio_spread', 'commod_momentum_slope', 'usd_vs_fxe_fxy_trend', 'glob_eq_ret20d_std', 'glob_eq_vol_skew']",3,0.46087318658828735,2407.303466796875,0.888683676622254
28,Standard,9,"['sector_ma_ratio_spread', 'eq_idx_macd_diff_mean', 'sector_momentum_dispersion', 'eq_idx_ret5d_mean', 'rsi_diff_qqq_spy', 'usd_vs_fxe_fxy_trend', 'commod_trend_strength', 'macd_diff_lqd_spy', 'commod_momentum_slope']",3,0.4607290029525757,2067.99853515625,0.8297120546611628
51,Robust,5,"['macd_diff_lqd_spy', 'eq_idx_ret5d_mean', 'glob_eq_rsi_mean', 'sector_ma_ratio_spread', 'commod_momentum_slope']",4,0.46042492985725403,1890.7373046875,0.8224942155257783
184,Robust,5,"['commod_trend_strength', 'sector_momentum_dispersion', 'commod_momentum_slope', 'eq_idx_macd_diff_mean', 'rsi_diff_qqq_spy']",3,0.45937639474868774,2416.041015625,0.8790399939537528
197,Standard,5,"['sector_ma_ratio_spread', 'sector_momentum_dispersion', 'commod_momentum_slope', 'eq_idx_ret5d_mean', 'usd_vs_fxe_fxy_trend']",4,0.45900553464889526,3141.994140625,0.8255596913465351
156,Robust,9,"['commod_trend_strength', 'glob_eq_rsi_mean', 'macd_diff_lqd_spy', 'glob_eq_ret20d_std', 'sector_momentum_dispersion', 'glob_eq_vol_skew', 'eq_idx_ret5d_mean', 'eq_idx_macd_diff_mean', 'commod_momentum_slope']",3,0.45861563086509705,2156.43603515625,0.8258027697242705
163,Standard,8,"['usd_vs_fxe_fxy_trend', 'glob_eq_ret20d_std', 'eq_idx_macd_diff_mean', 'commod_trend_strength', 'eq_idx_ret5d_mean', 'sector_ma_ratio_spread', 'macd_diff_lqd_spy', 'commod_momentum_slope']",4,0.4583011567592621,3448.77880859375,0.8549582641345517
