scaler,method,k,n_components,n_neighbors,min_dist,metric,min_cluster_size,min_samples,selection_method,bic,aic,silhouette,calinski_harabasz,davies_bouldin
Quantile (uniform),HDBSCAN,52,3,15,0.01,euclidean,10,20,leaf,,,0.7159335017204285,5998.017578125,0.3765049426705008
Quantile (uniform),HDBSCAN,24,3,15,0.01,euclidean,30,15,eom,,,0.5339890122413635,3676.55419921875,0.6887072172006198
Quantile (uniform),HDBSCAN,28,3,15,0.01,euclidean,30,15,leaf,,,0.5366196632385254,3946.389892578125,0.6519551790957496
Quantile (uniform),HDBSCAN,23,3,15,0.01,euclidean,30,20,eom,,,0.5555289387702942,3799.792724609375,0.6483149138014922
Quantile (uniform),HDBSCAN,24,3,15,0.01,euclidean,30,20,leaf,,,0.5543488264083862,3538.76318359375,0.648395148015082
Quantile (uniform),HDBSCAN,58,3,15,0.1,correlation,10,15,eom,,,-0.0314459465444088,115.49000549316406,4.8389694833582615
Quantile (uniform),HDBSCAN,59,3,15,0.1,correlation,10,15,leaf,,,-0.0252841766923666,115.0771484375,4.841510717156208
Quantile (uniform),HDBSCAN,44,3,15,0.1,correlation,10,20,eom,,,0.0028980420902371407,147.63938903808594,4.388103578725079
Quantile (uniform),HDBSCAN,46,3,15,0.1,correlation,10,20,leaf,,,-0.00855089258402586,137.91461181640625,4.280470223864293
Quantile (uniform),HDBSCAN,27,3,15,0.1,correlation,30,15,eom,,,0.009646267630159855,216.9768524169922,3.2082050770877912
Quantile (uniform),HDBSCAN,29,3,15,0.1,correlation,30,15,leaf,,,0.0115958321839571,222.3711395263672,3.2298975671725247
Quantile (uniform),HDBSCAN,28,3,15,0.1,correlation,30,20,eom,,,0.003496736055240035,198.53575134277344,3.4096106381407845
Quantile (uniform),HDBSCAN,30,3,15,0.1,correlation,30,20,leaf,,,0.012347280979156494,201.91358947753906,3.4274913812040064
Quantile (uniform),HDBSCAN,53,3,15,0.1,euclidean,10,15,eom,,,0.64559006690979,2836.35791015625,0.4229646675663268
Quantile (uniform),HDBSCAN,63,3,15,0.1,euclidean,10,15,leaf,,,0.7016994953155518,5833.94921875,0.40336662015101266
Quantile (uniform),HDBSCAN,33,3,15,0.1,euclidean,10,20,eom,,,0.602086067199707,2373.6396484375,0.5153287695172954
Quantile (uniform),HDBSCAN,41,3,15,0.1,euclidean,10,20,leaf,,,0.6558579802513123,3696.060302734375,0.4628859182518334
Quantile (uniform),HDBSCAN,20,3,15,0.1,euclidean,30,15,eom,,,0.4961521327495575,1836.315185546875,0.6777325124295431
Quantile (uniform),HDBSCAN,27,3,15,0.1,euclidean,30,15,leaf,,,0.5343878865242004,2584.509033203125,0.6551132003933597
Quantile (uniform),HDBSCAN,19,3,15,0.1,euclidean,30,20,eom,,,0.5299480557441711,2485.185546875,0.6385106442750457
Quantile (uniform),HDBSCAN,23,3,15,0.1,euclidean,30,20,leaf,,,0.561124324798584,2628.04345703125,0.6414049561404402
Quantile (uniform),HDBSCAN,51,3,15,0.2,correlation,10,15,eom,,,-0.03775487095117569,93.99391174316406,4.994746012477532
Quantile (uniform),HDBSCAN,56,3,15,0.2,correlation,10,15,leaf,,,-0.062808558344841,84.3970718383789,5.33003789216634
Quantile (uniform),HDBSCAN,36,3,15,0.2,correlation,10,20,eom,,,-0.03952651470899582,115.52894592285156,3.615744102985671
Quantile (uniform),HDBSCAN,42,3,15,0.2,correlation,10,20,leaf,,,-0.04657367989420891,103.12200927734375,4.580254327820936
Quantile (uniform),HDBSCAN,30,3,15,0.2,correlation,30,15,eom,,,-0.008873086422681808,155.90061950683594,3.932460291595897
Quantile (uniform),HDBSCAN,30,3,15,0.2,correlation,30,15,leaf,,,-0.008873086422681808,155.90061950683594,3.932460291595897
Quantile (uniform),HDBSCAN,25,3,15,0.2,correlation,30,20,eom,,,-0.0021552627440541983,156.46295166015625,3.5903053041286093
Quantile (uniform),HDBSCAN,28,3,15,0.2,correlation,30,20,leaf,,,-0.010509190149605274,137.69821166992188,3.8618415365123586
Quantile (uniform),HDBSCAN,47,3,15,0.2,euclidean,10,15,eom,,,0.5435965061187744,1420.3934326171875,0.5080000344764557
Quantile (uniform),HDBSCAN,57,3,15,0.2,euclidean,10,15,leaf,,,0.6632320880889893,3085.077880859375,0.45191463254149866
Quantile (uniform),HDBSCAN,33,3,15,0.2,euclidean,10,20,eom,,,0.5254272222518921,1297.29296875,0.5743399450863427
Quantile (uniform),HDBSCAN,45,3,15,0.2,euclidean,10,20,leaf,,,0.6625159382820129,2682.427734375,0.45529241232526546
Quantile (uniform),HDBSCAN,2,3,15,0.2,euclidean,30,15,eom,,,0.04074067622423172,114.65276336669922,1.3118708291582915
Quantile (uniform),HDBSCAN,22,3,15,0.2,euclidean,30,15,leaf,,,0.49196699261665344,1591.3551025390625,0.7277203127743916
Quantile (uniform),HDBSCAN,2,3,15,0.2,euclidean,30,20,eom,,,0.04074067622423172,114.65276336669922,1.3118708291582915
Quantile (uniform),HDBSCAN,20,3,15,0.2,euclidean,30,20,leaf,,,0.5187401175498962,1506.643798828125,0.643364803389394
Quantile (uniform),HDBSCAN,58,3,30,0.01,correlation,10,15,eom,,,0.06625700742006302,246.26806640625,4.313380464296669
Quantile (uniform),HDBSCAN,59,3,30,0.01,correlation,10,15,leaf,,,0.05961298942565918,229.10528564453125,4.296269715706602
Quantile (uniform),HDBSCAN,42,3,30,0.01,correlation,10,20,eom,,,0.09559783339500427,295.54132080078125,3.460614376447884
Quantile (uniform),HDBSCAN,44,3,30,0.01,correlation,10,20,leaf,,,0.10350010544061661,270.185791015625,3.730681560392003
Quantile (uniform),HDBSCAN,30,3,30,0.01,correlation,30,15,eom,,,0.10259614139795303,379.7618713378906,3.3743042369921366
Quantile (uniform),HDBSCAN,34,3,30,0.01,correlation,30,15,leaf,,,0.10177992284297943,331.5887451171875,3.7293059379581686
Quantile (uniform),HDBSCAN,28,3,30,0.01,correlation,30,20,eom,,,0.1201743483543396,383.37750244140625,3.463156755537351
Quantile (uniform),HDBSCAN,31,3,30,0.01,correlation,30,20,leaf,,,0.10549265891313553,332.85595703125,3.5424095282252335
Quantile (uniform),HDBSCAN,59,3,30,0.01,euclidean,10,15,eom,,,0.6780007481575012,5560.6484375,0.41980736521912415
Quantile (uniform),HDBSCAN,63,3,30,0.01,euclidean,10,15,leaf,,,0.70856773853302,7717.86279296875,0.38945236666934935
Quantile (uniform),HDBSCAN,36,3,30,0.01,euclidean,10,20,eom,,,0.5648864507675171,2676.680419921875,0.5330377582074395
Quantile (uniform),HDBSCAN,46,3,30,0.01,euclidean,10,20,leaf,,,0.6631592512130737,4341.400390625,0.43815452207984223
Quantile (uniform),HDBSCAN,27,3,30,0.01,euclidean,30,15,eom,,,0.5290992259979248,3008.194580078125,0.7194513648437371
Quantile (uniform),HDBSCAN,29,3,30,0.01,euclidean,30,15,leaf,,,0.5434277653694153,3042.931396484375,0.7064778433261298
Quantile (uniform),HDBSCAN,21,3,30,0.01,euclidean,30,20,eom,,,0.5116766691207886,2604.828857421875,0.6265155177042262
Quantile (uniform),HDBSCAN,26,3,30,0.01,euclidean,30,20,leaf,,,0.5579537749290466,2971.01123046875,0.6314267837947776
Quantile (uniform),HDBSCAN,50,3,30,0.1,correlation,10,15,eom,,,-0.031060587614774704,166.6375732421875,5.390490573783715
Quantile (uniform),HDBSCAN,52,3,30,0.1,correlation,10,15,leaf,,,-0.033456187695264816,147.85812377929688,5.57152222799072
Quantile (uniform),HDBSCAN,34,3,30,0.1,correlation,10,20,eom,,,0.005199464503675699,216.42201232910156,3.526188226873641
Quantile (uniform),HDBSCAN,39,3,30,0.1,correlation,10,20,leaf,,,0.023241732269525528,203.63616943359375,3.6559799279312313
Quantile (uniform),HDBSCAN,24,3,30,0.1,correlation,30,15,eom,,,0.02165679633617401,329.17559814453125,3.407250642933667
Quantile (uniform),HDBSCAN,27,3,30,0.1,correlation,30,15,leaf,,,0.034573718905448914,301.0232238769531,3.450021919527537
Quantile (uniform),HDBSCAN,24,3,30,0.1,correlation,30,20,eom,,,0.025339996442198753,305.476806640625,3.717715528303618
Quantile (uniform),HDBSCAN,25,3,30,0.1,correlation,30,20,leaf,,,0.04509016126394272,306.0073547363281,3.7034500078699675
Quantile (uniform),HDBSCAN,54,3,30,0.1,euclidean,10,15,eom,,,0.6475076079368591,3394.934814453125,0.4531917612685898
Quantile (uniform),HDBSCAN,59,3,30,0.1,euclidean,10,15,leaf,,,0.6807731986045837,3880.27294921875,0.4123691869980414
Quantile (uniform),HDBSCAN,39,3,30,0.1,euclidean,10,20,eom,,,0.5810968279838562,1821.0537109375,0.49097455141839247
Quantile (uniform),HDBSCAN,46,3,30,0.1,euclidean,10,20,leaf,,,0.669520914554596,3505.105224609375,0.43820826315415123
Quantile (uniform),HDBSCAN,16,3,30,0.1,euclidean,30,15,eom,,,0.27709850668907166,665.12353515625,0.8056966503141525
Quantile (uniform),HDBSCAN,25,3,30,0.1,euclidean,30,15,leaf,,,0.5443043112754822,2552.934814453125,0.6630044120778484
Quantile (uniform),HDBSCAN,14,3,30,0.1,euclidean,30,20,eom,,,0.2826414406299591,697.55517578125,0.8347289427752972
