,features,metric_umap,n_neig_umap,min_d_umap,silhouette,calinski_harabasz,davies_bouldin,cluster_distribution
54,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'higher_high_consistency']",euclidean,10,0.01,0.5902157425880432,372.1211853027344,0.8348985302968344,"(np.float64(0.90625), np.float64(0.09375))"
55,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'higher_high_consistency']",manhattan,10,0.01,0.5718346238136292,495.6080322265625,0.46674535666189354,"(np.float64(0.9189814814814815), np.float64(0.08101851851851852))"
56,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'higher_high_consistency']",correlation,10,0.01,0.1952906996011734,146.26376342773438,1.2874708132462998,"(np.float64(0.16898148148148148), np.float64(0.8310185185185185))"
57,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'higher_high_consistency']",euclidean,10,0.1,0.40291839838027954,89.47352600097656,0.5315873857902956,"(np.float64(0.9675925925925926), np.float64(0.032407407407407406))"
58,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'higher_high_consistency']",manhattan,10,0.1,0.44237419962882996,276.3591613769531,0.6472778516391874,"(np.float64(0.9189814814814815), np.float64(0.08101851851851852))"
59,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'higher_high_consistency']",correlation,10,0.1,0.2434845119714737,212.6793975830078,1.474497721791079,"(np.float64(0.2465277777777778), np.float64(0.7534722222222222))"
60,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'higher_high_consistency']",euclidean,10,0.2,0.6671504974365234,127.39258575439453,0.25216436154995253,"(np.float64(0.9884259259259259), np.float64(0.011574074074074073))"
61,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'higher_high_consistency']",manhattan,10,0.2,0.3673264682292938,35.10624313354492,0.5015180622799836,"(np.float64(0.9884259259259259), np.float64(0.011574074074074073))"
62,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'higher_high_consistency']",correlation,10,0.2,0.3148173987865448,387.0205383300781,1.0950629755474002,"(np.float64(0.7430555555555556), np.float64(0.2569444444444444))"
63,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'higher_high_consistency']",euclidean,20,0.01,0.5217887163162231,264.28118896484375,0.40245624672825625,"(np.float64(0.9502314814814815), np.float64(0.04976851851851852))"
64,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'higher_high_consistency']",manhattan,20,0.01,0.44793447852134705,352.4528503417969,0.5705499115390092,"(np.float64(0.9178240740740741), np.float64(0.08217592592592593))"
65,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'higher_high_consistency']",correlation,20,0.01,0.3047883212566376,320.1380310058594,1.0220824837980673,"(np.float64(0.7731481481481481), np.float64(0.22685185185185186))"
66,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'higher_high_consistency']",euclidean,20,0.1,0.44880691170692444,297.7180480957031,0.6620050135381049,"(np.float64(0.9178240740740741), np.float64(0.08217592592592593))"
67,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'higher_high_consistency']",manhattan,20,0.1,0.4240410327911377,322.9530029296875,0.6134935658105024,"(np.float64(0.9178240740740741), np.float64(0.08217592592592593))"
68,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'higher_high_consistency']",correlation,20,0.1,0.291793555021286,307.45318603515625,1.0757219564596303,"(np.float64(0.7731481481481481), np.float64(0.22685185185185186))"
69,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'higher_high_consistency']",euclidean,20,0.2,0.5022265315055847,254.62799072265625,0.4335937283702571,"(np.float64(0.9502314814814815), np.float64(0.04976851851851852))"
70,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'higher_high_consistency']",manhattan,20,0.2,0.4073445796966553,302.49725341796875,0.6360287200823561,"(np.float64(0.9178240740740741), np.float64(0.08217592592592593))"
71,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'higher_high_consistency']",correlation,20,0.2,0.26169902086257935,274.88116455078125,1.1821842123320827,"(np.float64(0.7731481481481481), np.float64(0.22685185185185186))"
72,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'higher_high_consistency']",euclidean,40,0.01,0.4197959303855896,189.37930297851562,0.48606844922184994,"(np.float64(0.9502314814814815), np.float64(0.04976851851851852))"
73,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'higher_high_consistency']",manhattan,40,0.01,0.4043647050857544,273.5449523925781,0.658499609590671,"(np.float64(0.9178240740740741), np.float64(0.08217592592592593))"
74,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'higher_high_consistency']",correlation,40,0.01,0.30690592527389526,322.2227478027344,1.0203595693941159,"(np.float64(0.7731481481481481), np.float64(0.22685185185185186))"
75,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'higher_high_consistency']",euclidean,40,0.1,0.42156949639320374,197.52639770507812,0.4910016305699058,"(np.float64(0.9502314814814815), np.float64(0.04976851851851852))"
76,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'higher_high_consistency']",manhattan,40,0.1,0.40249869227409363,295.94439697265625,0.6487749607631936,"(np.float64(0.9178240740740741), np.float64(0.08217592592592593))"
77,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'higher_high_consistency']",correlation,40,0.1,0.261843740940094,265.9033203125,1.1633872852308904,"(np.float64(0.7731481481481481), np.float64(0.22685185185185186))"
78,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'higher_high_consistency']",euclidean,40,0.2,0.37766048312187195,164.1022491455078,0.5597874144110716,"(np.float64(0.9502314814814815), np.float64(0.04976851851851852))"
79,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'higher_high_consistency']",manhattan,40,0.2,0.3409065008163452,189.83531188964844,0.7057509412495391,"(np.float64(0.9317129629629629), np.float64(0.06828703703703703))"
80,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'higher_high_consistency']",correlation,40,0.2,0.25676247477531433,263.1515197753906,1.190221764940883,"(np.float64(0.22337962962962962), np.float64(0.7766203703703703))"
81,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'volume_trend_divergence']",euclidean,10,0.01,0.3887063264846802,85.24364471435547,0.47659111285271727,"(np.float64(0.9756944444444444), np.float64(0.024305555555555556))"
82,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'volume_trend_divergence']",manhattan,10,0.01,0.34897416830062866,78.42960357666016,0.49198302279478817,"(np.float64(0.9756944444444444), np.float64(0.024305555555555556))"
83,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'volume_trend_divergence']",correlation,10,0.01,0.290326863527298,61.025142669677734,0.5285589404638279,"(np.float64(0.019675925925925927), np.float64(0.9803240740740741))"
84,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'volume_trend_divergence']",euclidean,10,0.1,0.3742431402206421,85.99274444580078,0.48071312652912046,"(np.float64(0.9756944444444444), np.float64(0.024305555555555556))"
85,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'volume_trend_divergence']",manhattan,10,0.1,0.33338016271591187,74.04151916503906,0.517216841465678,"(np.float64(0.9756944444444444), np.float64(0.024305555555555556))"
86,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'volume_trend_divergence']",correlation,10,0.1,0.33339405059814453,353.6400451660156,1.4811992254761728,"(np.float64(0.53125), np.float64(0.46875))"
87,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'volume_trend_divergence']",euclidean,10,0.2,0.36708083748817444,83.28372955322266,0.4960772761593221,"(np.float64(0.9756944444444444), np.float64(0.024305555555555556))"
88,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'volume_trend_divergence']",manhattan,10,0.2,0.2755332291126251,165.71165466308594,0.8381297886565859,"(np.float64(0.9074074074074074), np.float64(0.09259259259259259))"
89,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'volume_trend_divergence']",correlation,10,0.2,0.29412034153938293,301.5162353515625,1.6066633386981541,"(np.float64(0.53125), np.float64(0.46875))"
90,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'volume_trend_divergence']",euclidean,20,0.01,0.2991305887699127,171.69869995117188,0.8054442698797983,"(np.float64(0.90625), np.float64(0.09375))"
91,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'volume_trend_divergence']",manhattan,20,0.01,0.4777382016181946,1023.783203125,0.8708774505231085,"(np.float64(0.5162037037037037), np.float64(0.4837962962962963))"
92,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'volume_trend_divergence']",correlation,20,0.01,0.23998330533504486,179.7058563232422,1.2296052904515442,"(np.float64(0.8032407407407407), np.float64(0.19675925925925927))"
93,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'volume_trend_divergence']",euclidean,20,0.1,0.43247559666633606,853.44189453125,0.9502335392681439,"(np.float64(0.5185185185185185), np.float64(0.48148148148148145))"
94,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'volume_trend_divergence']",manhattan,20,0.1,0.44747909903526306,948.4262084960938,0.9082413292819645,"(np.float64(0.5162037037037037), np.float64(0.4837962962962963))"
95,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'volume_trend_divergence']",correlation,20,0.1,0.472378134727478,832.9202270507812,0.8269656357313789,"(np.float64(0.6956018518518519), np.float64(0.30439814814814814))"
96,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'volume_trend_divergence']",euclidean,20,0.2,0.4377784729003906,915.2859497070312,0.9117392420838812,"(np.float64(0.4849537037037037), np.float64(0.5150462962962963))"
97,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'volume_trend_divergence']",manhattan,20,0.2,0.42321154475212097,796.3270263671875,0.9710524112465153,"(np.float64(0.46875), np.float64(0.53125))"
98,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'volume_trend_divergence']",correlation,20,0.2,0.4351447820663452,750.0184326171875,0.8957819402922158,"(np.float64(0.6944444444444444), np.float64(0.3055555555555556))"
99,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'volume_trend_divergence']",euclidean,40,0.01,0.4954864978790283,1208.7608642578125,0.7529873339643098,"(np.float64(0.3738425925925926), np.float64(0.6261574074074074))"
100,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'volume_trend_divergence']",manhattan,40,0.01,0.4398653209209442,917.632080078125,0.9282707959256884,"(np.float64(0.5092592592592593), np.float64(0.49074074074074076))"
101,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'volume_trend_divergence']",correlation,40,0.01,0.568348228931427,1324.0096435546875,0.6329850336993043,"(np.float64(0.6967592592592593), np.float64(0.30324074074074076))"
102,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'volume_trend_divergence']",euclidean,40,0.1,0.46151548624038696,990.5706176757812,0.82951713867427,"(np.float64(0.3738425925925926), np.float64(0.6261574074074074))"
103,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'volume_trend_divergence']",manhattan,40,0.1,0.45680978894233704,967.8818359375,0.8503466285249254,"(np.float64(0.38773148148148145), np.float64(0.6122685185185185))"
104,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'volume_trend_divergence']",correlation,40,0.1,0.51101154088974,1048.9163818359375,0.7408275803652605,"(np.float64(0.6956018518518519), np.float64(0.30439814814814814))"
105,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'volume_trend_divergence']",euclidean,40,0.2,0.42672786116600037,824.8677368164062,0.9164922501138822,"(np.float64(0.38078703703703703), np.float64(0.6192129629629629))"
106,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'volume_trend_divergence']",manhattan,40,0.2,0.4242420196533203,812.7186279296875,0.9277834154060594,"(np.float64(0.3854166666666667), np.float64(0.6145833333333334))"
107,"['glob_eq_tlt_corr', 'glob_eq_gld_corr', 'beta_vol_spread', 'volume_trend_divergence']",correlation,40,0.2,0.434525728225708,735.3348388671875,0.8933302287722044,"(np.float64(0.6956018518518519), np.float64(0.30439814814814814))"
